Graph,Weight,Time
crd1000.mst,6155,450.2308
crd1001.mst,6971,443.8821
crd1002.mst,6795,369.3916
crd1003.mst,7008,342.8141
crd1004.mst,6898,351.4004
crd1005.mst,6416,344.7466
crd1006.mst,6217,334.2116
crd1007.mst,7088,323.9096
crd1008.mst,6490,328.8756
crd1009.mst,6588,339.0941
crd300.mst,3624,1.0024
crd301.mst,3268,0.9979
crd302.mst,3989,0.9485
crd303.mst,3849,0.9493
crd304.mst,3918,0.9959
crd305.mst,3793,1.0773
crd306.mst,3807,1.1128
crd307.mst,3917,1.0275
crd308.mst,3700,1.0346
crd309.mst,3716,1.0003
crd500.mst,4910,10.9205
crd501.mst,5111,11.4319
crd502.mst,4877,11.4782
crd503.mst,4532,11.0127
crd504.mst,4712,10.54
crd505.mst,4881,11.1284
crd506.mst,4697,11.374
crd507.mst,4740,11.1246
crd508.mst,4981,11.8986
crd509.mst,4587,11.4241
crd700.mst,5761,55.1527
crd701.mst,5828,56.4262
crd702.mst,6141,57.4499
crd703.mst,5862,55.5234
crd704.mst,5558,56.8931
crd705.mst,5852,59.8979
crd706.mst,6054,55.6138
crd707.mst,5956,56.5735
crd708.mst,5772,59.1057
crd709.mst,5474,55.2209
graphe.mst,218,0.0323
shrd150.mst,747,0.1721
shrd159.mst,762,0.1687
shrd200.mst,1244,0.5774
shrd209.mst,1335,0.613
shrd300.mst,3176,4.7595
shrd309.mst,3044,4.6684
str1000.mst,4711,524.6343
str1001.mst,4710,523.6334
str1002.mst,6772,519.7516
str1003.mst,6775,521.4397
str1004.mst,8329,509.4058
str1005.mst,8370,527.4869
str1006.mst,10164,480.8891
str1007.mst,10162,480.7487
str1008.mst,12034,501.7409
str1009.mst,12041,495.1506
str300.mst,3924,1.5242
str301.mst,3952,1.4764
str302.mst,5484,1.4824
str303.mst,5416,1.5326
str304.mst,6763,1.5792
str305.mst,6934,1.7531
str306.mst,8336,1.9051
str307.mst,8232,1.4505
str308.mst,9452,2.0119
str309.mst,9657,1.5633
str500.mst,4121,17.2986
str501.mst,4268,17.2277
str502.mst,5866,16.4177
str503.mst,5783,16.8922
str504.mst,7353,17.0599
str505.mst,7280,16.7944
str506.mst,8927,15.8029
str507.mst,8863,17.5105
str508.mst,10391,16.837
str509.mst,10359,15.6802
str700.mst,4406,88.0078
str701.mst,4421,87.4257
str702.mst,6142,88.4675
str703.mst,6081,87.7509
str704.mst,7910,90.1616
str705.mst,7755,86.9153
str706.mst,9439,86.7072
str707.mst,9520,103.4559
str708.mst,10896,92.2843
str709.mst,10781,82.6348
sym300.mst,1179,1.3478
sym301.mst,1320,1.2003
sym302.mst,1373,1.3135
sym303.mst,1131,0.9988
sym304.mst,2084,1.2613
sym305.mst,975,1.1173
sym306.mst,1095,1.1941
sym307.mst,1280,1.0724
sym308.mst,1546,1.0529
sym309.mst,1430,1.3447
sym500.mst,1230,13.0109
sym501.mst,1198,14.2139
sym502.mst,1474,12.4761
sym503.mst,1548,13.0637
sym504.mst,1367,12.9543
sym505.mst,1362,12.2783
sym506.mst,1354,13.0186
sym507.mst,1289,15.1765
sym508.mst,1286,10.5221
sym509.mst,1199,12.4236
sym700.mst,1468,71.7961
sym701.mst,1408,71.8009
sym702.mst,1362,67.4986
sym703.mst,1063,62.8821
sym704.mst,1525,71.2013
sym705.mst,1394,67.3194
sym706.mst,1013,67.3725
sym707.mst,1688,76.8374
sym708.mst,1344,61.0416
sym709.mst,1196,67.3198
