Graph,Weight,Time
crd1000.mst,6154,447.7693
crd1001.mst,6963,410.4671
crd1002.mst,6791,428.2785
crd1003.mst,7002,402.3626
crd1004.mst,6895,408.539
crd1005.mst,6409,407.7513
crd1006.mst,6217,430.9384
crd1007.mst,7088,390.7785
crd1008.mst,6490,384.4566
crd1009.mst,6575,389.2881
crd300.mst,3624,2.846
crd301.mst,3268,2.8401
crd302.mst,3989,2.8597
crd303.mst,3849,2.8359
crd304.mst,3918,2.8402
crd305.mst,3765,2.957
crd306.mst,3792,2.949
crd307.mst,3917,2.8929
crd308.mst,3700,2.7749
crd309.mst,3716,2.8019
crd500.mst,4910,20.0313
crd501.mst,5111,20.1695
crd502.mst,4877,20.2277
crd503.mst,4532,20.1078
crd504.mst,4712,19.7549
crd505.mst,4875,20.5949
crd506.mst,4667,19.9302
crd507.mst,4740,20.5561
crd508.mst,4981,19.3821
crd509.mst,4587,19.5897
crd700.mst,5761,80.1107
crd701.mst,5821,81.3523
crd702.mst,6141,82.4761
crd703.mst,5845,82.14
crd704.mst,5558,84.8227
crd705.mst,5829,83.1579
crd706.mst,6054,83.7931
crd707.mst,5956,87.0329
crd708.mst,5772,81.4613
crd709.mst,5474,81.6875
graphe.mst,218,0.0389
shrd150.mst,164,0.1674
shrd159.mst,115,0.2061
shrd200.mst,157,0.4604
shrd209.mst,196,0.4394
shrd300.mst,274,2.1198
shrd309.mst,239,2.0978
small.mst,11,0.0592
str1000.mst,4261,446.4759
str1001.mst,4261,404.0244
str1002.mst,5923,414.9755
str1003.mst,5923,390.3763
str1004.mst,7197,397.916
str1005.mst,7197,400.855
str1006.mst,8689,402.8262
str1007.mst,8689,439.4651
str1008.mst,10136,424.993
str1009.mst,10159,403.5188
str300.mst,3457,2.5877
str301.mst,3448,2.5629
str302.mst,4629,2.5615
str303.mst,4546,2.5759
str304.mst,5624,2.5551
str305.mst,5713,2.5801
str306.mst,6773,2.6723
str307.mst,6684,2.6078
str308.mst,7631,2.5992
str309.mst,7775,2.5698
str500.mst,3659,19.5908
str501.mst,3779,19.5989
str502.mst,5036,19.4074
str503.mst,4959,19.6031
str504.mst,6187,19.5686
str505.mst,6163,20.0754
str506.mst,7376,19.9034
str507.mst,7292,19.9309
str508.mst,8547,19.9178
str509.mst,8529,19.8424
str700.mst,3956,76.8373
str701.mst,3922,78.218
str702.mst,5297,79.9464
str703.mst,5284,80.326
str704.mst,6754,82.7368
str705.mst,6606,79.4866
str706.mst,7908,79.4884
str707.mst,8003,79.9702
str708.mst,9070,80.2042
str709.mst,8997,82.0214
sym300.mst,958,2.6532
sym301.mst,1219,2.6196
sym302.mst,1252,2.6255
sym303.mst,1090,2.601
sym304.mst,1686,2.5758
sym305.mst,903,2.6305
sym306.mst,976,2.6168
sym307.mst,1271,2.5358
sym308.mst,1506,2.5886
sym309.mst,1296,2.664
sym500.mst,1098,19.9149
sym501.mst,1045,19.9005
sym502.mst,1416,19.6558
sym503.mst,1341,19.6303
sym504.mst,1231,19.7719
sym505.mst,1268,19.6136
sym506.mst,1221,19.9629
sym507.mst,1093,19.564
sym508.mst,1266,19.7026
sym509.mst,1160,19.672
sym700.mst,1177,81.6666
sym701.mst,1185,82.629
sym702.mst,1232,81.0225
sym703.mst,990,83.377
sym704.mst,1335,83.3258
sym705.mst,1283,84.1121
sym706.mst,955,84.7113
sym707.mst,1432,85.8532
sym708.mst,1270,84.2561
sym709.mst,1044,83.5682
