Graph,Weight,Time
crd1000.mst,6154,14.0176
crd1001.mst,6963,4.7474
crd1002.mst,6791,4.6063
crd1003.mst,7002,5.3066
crd1004.mst,6895,3.9998
crd1005.mst,6409,5.3735
crd1006.mst,6217,2.848
crd1007.mst,7088,1.885
crd1008.mst,6490,1.8039
crd1009.mst,6575,1.7463
crd300.mst,3624,0.3033
crd301.mst,3268,0.169
crd302.mst,3989,0.1634
crd303.mst,3849,0.199
crd304.mst,3918,0.1246
crd305.mst,3765,0.234
crd306.mst,3792,0.1245
crd307.mst,3917,0.171
crd308.mst,3700,0.1354
crd309.mst,3716,0.4377
crd500.mst,4910,0.4306
crd501.mst,5111,0.3063
crd502.mst,4877,0.5757
crd503.mst,4532,0.3162
crd504.mst,4712,0.3481
crd505.mst,4875,0.2931
crd506.mst,4667,0.6366
crd507.mst,4740,0.4021
crd508.mst,4981,0.2695
crd509.mst,4587,0.6556
crd700.mst,5761,0.6346
crd701.mst,5821,0.889
crd702.mst,6141,0.577
crd703.mst,5845,0.875
crd704.mst,5558,0.6018
crd705.mst,5829,0.8958
crd706.mst,6054,0.8225
crd707.mst,5956,1.0821
crd708.mst,5772,0.6021
crd709.mst,5474,0.967
graphe.mst,218,0.0507
shrd150.mst,164,0.0222
shrd159.mst,115,0.0258
shrd200.mst,157,0.0477
shrd209.mst,196,0.0394
shrd300.mst,274,0.0728
shrd309.mst,239,0.079
small.mst,11,0.0666
str1000.mst,4261,1.2767
str1001.mst,4261,1.7843
str1002.mst,5923,1.4169
str1003.mst,5923,1.5502
str1004.mst,7197,1.3068
str1005.mst,7197,1.3216
str1006.mst,8689,1.2854
str1007.mst,8689,1.3456
str1008.mst,10136,1.3322
str1009.mst,10159,1.262
str300.mst,3457,0.119
str301.mst,3448,0.1189
str302.mst,4629,0.1011
str303.mst,4546,0.1056
str304.mst,5624,0.1261
str305.mst,5713,0.1149
str306.mst,6773,0.1146
str307.mst,6684,0.2039
str308.mst,7631,0.0954
str309.mst,7775,0.0966
str500.mst,3659,0.2885
str501.mst,3779,0.2506
str502.mst,5036,0.2106
str503.mst,4959,0.1841
str504.mst,6187,0.1713
str505.mst,6163,0.2054
str506.mst,7376,0.1831
str507.mst,7292,0.1822
str508.mst,8547,0.1689
str509.mst,8529,0.1702
str700.mst,3956,0.3554
str701.mst,3922,0.3604
str702.mst,5297,0.3503
str703.mst,5284,0.3391
str704.mst,6754,0.3342
str705.mst,6606,0.3397
str706.mst,7908,0.3416
str707.mst,8003,0.3481
str708.mst,9070,0.3631
str709.mst,8997,0.3458
sym300.mst,958,0.0658
sym301.mst,1219,0.0642
sym302.mst,1252,0.0901
sym303.mst,1090,0.0649
sym304.mst,1686,0.0649
sym305.mst,903,0.0628
sym306.mst,976,0.0733
sym307.mst,1271,0.064
sym308.mst,1506,0.0638
sym309.mst,1296,0.0698
sym500.mst,1098,0.1766
sym501.mst,1045,0.1774
sym502.mst,1416,0.1742
sym503.mst,1341,0.1743
sym504.mst,1231,0.1732
sym505.mst,1268,0.172
sym506.mst,1221,0.1736
sym507.mst,1093,0.1792
sym508.mst,1266,0.1779
sym509.mst,1160,0.1726
sym700.mst,1177,0.3542
sym701.mst,1185,0.3361
sym702.mst,1232,0.3434
sym703.mst,990,0.339
sym704.mst,1335,0.3555
sym705.mst,1283,0.342
sym706.mst,955,0.3431
sym707.mst,1432,0.3573
sym708.mst,1270,0.3353
sym709.mst,1044,0.3871
