Graph,Weight,Time
crd1000.mst,6154,8.0051
crd1001.mst,6963,4.4037
crd1002.mst,6791,3.9927
crd1003.mst,7002,3.7655
crd1004.mst,6895,3.6656
crd1005.mst,6409,3.7222
crd1006.mst,6217,1.8646
crd1007.mst,7088,1.301
crd1008.mst,6490,1.3813
crd1009.mst,6575,1.3854
crd300.mst,3624,0.2739
crd301.mst,3268,0.1176
crd302.mst,3989,0.108
crd303.mst,3849,0.1101
crd304.mst,3918,0.1041
crd305.mst,3765,0.1157
crd306.mst,3792,0.1039
crd307.mst,3917,0.1139
crd308.mst,3700,0.1167
crd309.mst,3716,0.285
crd500.mst,4910,0.2761
crd501.mst,5111,0.396
crd502.mst,4877,0.424
crd503.mst,4532,0.3907
crd504.mst,4712,0.4391
crd505.mst,4875,0.2874
crd506.mst,4667,0.5952
crd507.mst,4740,0.3051
crd508.mst,4981,0.2876
crd509.mst,4587,0.437
crd700.mst,5761,0.6013
crd701.mst,5821,0.7853
crd702.mst,6141,0.5256
crd703.mst,5845,1.0581
crd704.mst,5558,0.5032
crd705.mst,5829,0.7767
crd706.mst,6054,0.5006
crd707.mst,5956,0.9748
crd708.mst,5772,0.5752
crd709.mst,5474,0.8148
graphe.mst,218,0.0248
shrd150.mst,164,0.032
shrd159.mst,115,0.0325
shrd200.mst,157,0.0519
shrd209.mst,196,0.0563
shrd300.mst,274,0.111
shrd309.mst,239,0.1114
small.mst,11,0.0054
str1000.mst,4261,0.6746
str1001.mst,4261,0.6791
str1002.mst,5923,0.676
str1003.mst,5923,0.6561
str1004.mst,7197,0.7519
str1005.mst,7197,0.6023
str1006.mst,8689,0.5547
str1007.mst,8689,0.6551
str1008.mst,10136,0.5282
str1009.mst,10159,0.5764
str300.mst,3457,0.0768
str301.mst,3448,0.065
str302.mst,4629,0.0612
str303.mst,4546,0.0611
str304.mst,5624,0.0649
str305.mst,5713,0.0625
str306.mst,6773,0.065
str307.mst,6684,0.0613
str308.mst,7631,0.0619
str309.mst,7775,0.0559
str500.mst,3659,0.17
str501.mst,3779,0.1791
str502.mst,5036,0.1597
str503.mst,4959,0.1605
str504.mst,6187,0.1417
str505.mst,6163,0.1507
str506.mst,7376,0.1382
str507.mst,7292,0.1488
str508.mst,8547,0.1481
str509.mst,8529,0.1411
str700.mst,3956,0.2748
str701.mst,3922,0.2752
str702.mst,5297,0.3134
str703.mst,5284,0.3106
str704.mst,6754,0.2883
str705.mst,6606,0.2956
str706.mst,7908,0.3004
str707.mst,8003,0.2847
str708.mst,9070,0.2608
str709.mst,8997,0.3078
sym300.mst,958,0.0618
sym301.mst,1219,0.0548
sym302.mst,1252,0.0596
sym303.mst,1090,0.0562
sym304.mst,1686,0.0536
sym305.mst,903,0.054
sym306.mst,976,0.0565
sym307.mst,1271,0.0615
sym308.mst,1506,0.0668
sym309.mst,1296,0.0539
sym500.mst,1098,0.1504
sym501.mst,1045,0.1483
sym502.mst,1416,0.1438
sym503.mst,1341,0.1474
sym504.mst,1231,0.1486
sym505.mst,1268,0.1749
sym506.mst,1221,0.1531
sym507.mst,1093,0.2164
sym508.mst,1266,0.1425
sym509.mst,1160,0.209
sym700.mst,1177,0.2906
sym701.mst,1185,0.3263
sym702.mst,1232,0.3105
sym703.mst,990,0.3556
sym704.mst,1335,0.3083
sym705.mst,1283,0.3105
sym706.mst,955,0.3306
sym707.mst,1432,0.333
sym708.mst,1270,0.3163
sym709.mst,1044,0.413
